author,text,published_at,like_count,product_name,product_brand,video_title
@goaliedude32,"I was interested in starting keto but my first day was terrible. After my first 24 hours of little-no carbs i had a terrible mood, eveerything was making me incredibly angry and i was feeling super emotional. I left work early and stopped by to get a monitor test said i had 90 mg/dl, i feel like that's a mostly normal reading? i'm new to this stuff just trying to learn",2025-06-20T18:38:04Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@muhammadatif8766,I have accu check 😮,2025-06-19T04:56:31Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@FarmanJan-i9v,Why all results are different from each other,2025-06-16T12:01:03Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@josefinarojas4441,"This is a disgrace for us having this diabetes, it is expensive and a very stressing thing!",2025-06-12T20:56:06Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@Debbie-l8c,I have a keto and blood monitor all in one yet my libre monitor says something different. I know you are supposed to wait 30 minutes between doing each but they are sometimes still giving me different readings.,2025-06-11T20:24:09Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@mr.sanjayinformationdiscov3282,"RBS    = 140
FBS    = 70-99
PPBS = 140",2025-06-10T10:08:18Z,2,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@Dr_Bikash_Munduri,Calibrated difference is around 10 in every scale,2025-06-06T07:01:15Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@channelk-5145,125,2025-06-03T08:10:39Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@helpmyspaghettiiseatingme,This is why I have trust issues,2025-05-28T13:38:14Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@mdsalim7001,accu check best,2025-05-24T00:30:52Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@COOLESTPERSONEVER1A1,Hello🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡🚡,2025-05-22T17:08:06Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@Principe70,.....in questi quasi quale il reale ?,2025-05-09T10:41:36Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@umaxen0048,BLOOD READING is FAR more accurate than a CGM during pre or post hypoglycemic situations.,2025-05-07T13:11:16Z,1,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@planetmars7161,Accu chek is best,2025-05-07T00:45:43Z,2,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@jessevelasquez3847,Wow! 🤦🏻‍♂️,2025-05-06T03:23:05Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@josevidal5484,Tá testando a ineficiência dos equipamentos sem falar nada. Nesse caso o laboratório seria o melhor caminho.,2025-05-06T02:14:28Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@ghulamali1223,فيک هي ليباٽري بيسٽ.  هي,2025-05-04T17:55:15Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@HateDietPepsi,"The brand name large corporation glucometers are usually the most accurate. For example Accu-Chek brands, One Touch, Freestyle, Contour, Precision are all relatively accurate.  I use the Contour Next and it compares well with lab tested levels.",2025-05-01T02:03:14Z,42,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@singhpreet3066,Better if you mention fasting or random,2025-04-30T13:30:50Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@Princessbutterfly9161,You are not supposed to milk the finger,2025-04-30T04:33:08Z,1,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@AlexanderDevil666,"This evaluation demonstrates several critical methodological flaws. Firstly, it involves testing glucose meters from different brands without appropriate control of variables. Secondly, the use of capillary blood obtained through repeated squeezing may introduce interstitial fluid, leading to potentially inaccurate glucose readings. Thirdly, the absence of comparison against a recognized gold standard, such as an automated laboratory analyzer, undermines the validity of the results. Although the approach may appear straightforward, it lacks the scientific rigor and precision required for reliable diagnostic evaluation.",2025-04-29T16:46:11Z,9,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@mdyousufali8068,কোনটাই ঠিক নেই,2025-04-27T12:49:49Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@Nayem288,Accu-Chek best,2025-04-27T10:01:13Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@fabiodangelo1070,10% a 12 % de variação...tá valendo!,2025-04-27T00:33:40Z,3,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@vajralasrinivasareddy4350,Mee video thagaleyya Ami ardhamaindha,2025-04-26T01:56:46Z,1,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@ОльгаОльга-ъ6с,+- Одинаково,2025-04-23T10:59:11Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@me_burak,It's normal in these monitors +15 -15 is normal,2025-04-20T20:57:45Z,2,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@jovenciofloro8852,Ang hindi pare pareho ang  reading nila saan dyan ang accurate na apparatus,2025-04-20T10:16:52Z,0,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@terajatt13,is this fasting test levels or in the evening ????,2025-04-19T23:58:44Z,5,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@NursingPractitioner,613 ÷ 5 the Average rbs will be 122.6 mg/dl,2025-04-10T06:26:07Z,58,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@tanderalone,"So, wich one is correct? 😢",2025-04-09T19:55:00Z,4,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@stuartsinclair6269,"Pending if test strips are out of date which give way higher readings a hospital version is the most accurate 
Also left fingers and right fingers tell different too, always my right fingers give lower readings, maybe because it’s closer to your pancreas and less blood to travel😊",2025-04-08T13:54:14Z,8,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@fidelcatsro6948,We need a blood transfusion after these videos!,2025-04-08T11:19:47Z,2,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@nandansinghnegi,"I'm glad you don't have diabetes if it not fasting test 😊 This is important... Besides what the tests show, it also varies across lab tests.",2025-04-08T05:25:21Z,11,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@tjietjingthomas9179,Coba cek gula darah di laboratorium yang berbeda pada hari yang sama. Hasilnya akan beda juga 😅,2025-04-07T02:28:00Z,3,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@jimmym2719,"Yes, that’s a concern & also of cos it does not mean the most expensive is the most accurate too. Consistency is the key as well as battery level. Reference to a medical professional one can be a good idea but the way different nurses do that for u also differs being the same professional brand. The auditors to our ISO assessment of our in house measurement equipment does emphasize on consistencies of the data and referencing to a master sample kept as calibration measurements. Precisions is about acceptable limits of both parties in our field of production consistency and data collections. Thanks for sharing this with us all ❤",2025-04-06T11:23:15Z,5,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@fweddyfwintsone4491,"If these were bathroom scales, my wife would choose the lowest.",2025-04-03T01:14:17Z,41,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@shahidmahmood2123,If it's random then all readings are normal,2025-04-02T13:06:08Z,15,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
@beenzi836,Why this is happening?? Let us know,2025-04-01T16:55:07Z,2,ABBOTT Sampler Set,abbott,AP-10 Blood Glucose Monitoring System (LeisonBio) vs Roche
